barrido,archivo,f_test_hz,resolucion_hz,peak_freq_hz,peak_amp_dbm,offset_hz,offset_en_bins,noise_floor_dbm,snr_db
barrido(3k-19k),sweep_f_test_18.0kHz.csv,18000.0,19.0,17998.0,-10.19564915,-2.0,-0.10526315789473684,-120.54697745,110.3513283
barrido(3k-19k),sweep_f_test_19.0kHz.csv,19000.0,19.0,19005.0,-10.21109104,5.0,0.2631578947368421,-120.63438995,110.42329891
barrido(22k-49k),sweep_f_test_22.0kHz.csv,22000.0,29.0,21986.0,-10.14409351,-14.0,-0.4827586206896552,-125.58703265,115.44293914
barrido(22k-49k),sweep_f_test_23.0kHz.csv,23000.0,29.0,22972.0,-10.14659283,-28.0,-0.9655172413793104,-125.79404525000001,115.64745242000001
barrido(22k-49k),sweep_f_test_24.0kHz.csv,24000.0,29.0,24016.0,-10.14809132,16.0,0.5517241379310345,-126.08495289999999,115.93686157999998
barrido(22k-49k),sweep_f_test_25.0kHz.csv,25000.0,29.0,25002.0,-10.14907455,2.0,0.06896551724137931,-125.85507609999999,115.70600155
barrido(22k-49k),sweep_f_test_26.0kHz.csv,26000.0,29.0,25988.0,-10.14900303,-12.0,-0.41379310344827586,-125.87274675,115.72374372
barrido(22k-49k),sweep_f_test_27.0kHz.csv,27000.0,29.0,26974.0,-10.15113555,-26.0,-0.896551724137931,-125.87199745,115.72086189999999
barrido(22k-49k),sweep_f_test_28.0kHz.csv,28000.0,29.0,28018.0,-10.15255451,18.0,0.6206896551724138,-125.46938359999999,115.31682908999998
barrido(22k-49k),sweep_f_test_29.0kHz.csv,29000.0,29.0,29004.0,-10.15439987,4.0,0.13793103448275862,-125.90827485,115.75387497999999
barrido(22k-49k),sweep_f_test_30.0kHz.csv,30000.0,29.0,29990.0,-10.15527725,-10.0,-0.3448275862068966,-126.06952655,115.91424930000001
barrido(22k-49k),sweep_f_test_31.0kHz.csv,31000.0,29.0,30976.0,-10.15622608,-24.0,-0.8275862068965517,-125.45307550000001,115.29684942000002
barrido(22k-49k),sweep_f_test_32.0kHz.csv,32000.0,29.0,32020.0,-10.1578846,20.0,0.6896551724137931,-125.76108515,115.60320055
barrido(22k-49k),sweep_f_test_33.0kHz.csv,33000.0,29.0,33006.0,-10.15958405,6.0,0.20689655172413793,-126.0692156,115.90963155
barrido(22k-49k),sweep_f_test_34.0kHz.csv,34000.0,29.0,33992.0,-10.16100788,-8.0,-0.27586206896551724,-125.61696235,115.45595447
barrido(22k-49k),sweep_f_test_35.0kHz.csv,35000.0,29.0,34978.0,-10.16180111,-22.0,-0.7586206896551724,-125.785399,115.62359789
barrido(22k-49k),sweep_f_test_36.0kHz.csv,36000.0,29.0,36022.0,-10.16466713,22.0,0.7586206896551724,-125.934955,115.77028787
barrido(22k-49k),sweep_f_test_37.0kHz.csv,37000.0,29.0,37008.0,-10.16600037,8.0,0.27586206896551724,-125.91505935,115.74905898
barrido(22k-49k),sweep_f_test_38.0kHz.csv,38000.0,29.0,37994.0,-10.1677351,-6.0,-0.20689655172413793,-125.53652364999999,115.36878854999999
barrido(22k-49k),sweep_f_test_39.0kHz.csv,39000.0,29.0,38980.0,-10.16728897,-20.0,-0.6896551724137931,-125.81762165,115.65033268
